                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.087,                 1.6512,                 0.7234,                 1.1441,                 0.9561,                0.68293,                0.81377,                0.62264,                0.61092,                0.43902,                0.44311,                0.28424,                0.98431,                 1.3396,                0.63647,                 1.0993,              0.0014773,              0.0014773,              0.0014773
                     69,                 1.0947,                 1.6191,                0.71485,                 1.1526,                0.94795,                0.65854,                0.80558,                0.59459,                0.58948,                0.39024,                 0.4106,                0.25934,                 1.0196,                 1.2617,                  0.685,                 1.1354,              0.0014694,              0.0014694,              0.0014694
                     70,                 1.0666,                 1.5912,                0.70785,                 1.1164,                 0.8043,                  0.802,                0.83367,                0.61733,                0.59994,                0.39024,                0.41859,                0.27917,                0.99323,                 1.2553,                0.66076,                 1.1137,              0.0014614,              0.0014614,              0.0014614
                     71,                  1.054,                 1.5452,                0.70217,                 1.1295,                0.85986,                0.74838,                0.84183,                 0.6213,                0.50452,                0.43902,                0.37801,                0.26853,                0.96203,                 1.2458,                0.65627,                 1.1048,              0.0014535,              0.0014535,              0.0014535
                     72,                 1.0679,                 1.5853,                0.70656,                 1.1457,                0.88435,                0.74622,                0.83671,                0.63043,                0.53874,                 0.4275,                0.39119,                0.27189,                0.97986,                 1.1769,                 0.6713,                 1.1258,              0.0014456,              0.0014456,              0.0014456
                     73,                 1.0311,                 1.5441,                0.69433,                 1.1285,                0.82917,                 0.7561,                0.84276,                0.62513,                0.54913,                0.47546,                0.42009,                0.28517,                0.97912,                 1.2203,                0.65791,                 1.1373,              0.0014377,              0.0014377,              0.0014377
                     74,                0.98021,                 1.4871,                0.65986,                 1.1156,                0.79421,                0.78049,                0.82012,                0.61429,                 0.5202,                0.46341,                 0.4193,                 0.2878,                0.93607,                 1.2749,                 0.6515,                 1.0981,              0.0014298,              0.0014298,              0.0014298
                     75,                 1.0517,                 1.5668,                0.69343,                 1.1096,                0.93511,                0.68293,                0.84491,                0.63359,                0.59661,                0.46341,                0.45484,                0.28808,                0.95037,                 1.2797,                0.62294,                 1.0853,              0.0014218,              0.0014218,              0.0014218
                     76,                 1.0318,                 1.6306,                0.69786,                 1.1084,                0.95588,                0.70732,                0.85791,                0.65054,                0.56567,                0.41463,                0.39862,                0.27925,                 0.8736,                 1.2926,                0.62066,                 1.0629,              0.0014139,              0.0014139,              0.0014139
                     77,                 1.0087,                 1.5353,                0.69206,                 1.1297,                0.93338,                 0.7561,                0.84583,                0.62878,                0.57959,                0.41463,                0.44014,                0.32629,                0.90835,                 1.2403,                0.62979,                 1.0979,               0.001406,               0.001406,               0.001406
                     78,                 1.0596,                 1.5095,                0.72433,                 1.1731,                0.94888,                 0.7561,                0.85303,                0.61463,                0.57905,                0.46341,                0.45626,                0.32538,                0.98934,                 1.1975,                0.63675,                 1.1381,              0.0013981,              0.0013981,              0.0013981
                     79,                 1.0786,                 1.5868,                0.70911,                 1.1433,                 0.9271,                0.73171,                0.84549,                0.64185,                0.58335,                0.43902,                0.40451,                0.26775,                0.91732,                 1.1594,                0.59505,                 1.0845,              0.0013902,              0.0013902,              0.0013902
                     80,                 1.0577,                 1.5263,                 0.7028,                 1.1215,                0.90362,                0.68608,                0.83826,                0.62416,                0.58984,                0.43902,                0.44652,                0.29456,                0.94688,                 1.1991,                0.63154,                 1.0956,              0.0013822,              0.0013822,              0.0013822
                     81,                 1.0243,                 1.5207,                0.71025,                 1.1193,                0.86722,                0.68293,                0.80118,                0.58537,                0.51931,                0.41463,                0.41443,                0.28523,                0.99694,                 1.2523,                0.73023,                 1.0918,              0.0013743,              0.0013743,              0.0013743
                     82,                 1.1328,                 1.6314,                0.73477,                 1.1651,                0.91819,                0.70732,                0.83886,                0.59231,                0.56108,                0.43902,                0.39583,                0.26095,                 0.9899,                 1.2389,                0.66794,                 1.1169,              0.0013664,              0.0013664,              0.0013664
                     83,                 1.0738,                 1.5289,                0.71975,                 1.1401,                0.93922,                 0.7561,                0.84735,                0.63588,                0.57031,                0.46341,                0.40915,                0.27953,                 1.0004,                 1.2861,                0.64073,                 1.1145,              0.0013585,              0.0013585,              0.0013585
                     84,                 1.0198,                 1.5737,                0.70328,                 1.1095,                0.96394,                0.70732,                0.84278,                0.65234,                0.59312,                0.46341,                0.39946,                0.27132,                0.97335,                 1.2464,                0.60397,                 1.1041,              0.0013506,              0.0013506,              0.0013506
                     85,                 1.0102,                 1.6033,                0.70854,                 1.0896,                0.85888,                0.74241,                0.82747,                 0.6474,                0.55319,                0.43902,                 0.4265,                0.28737,                0.87258,                 1.2161,                0.58423,                 1.0492,              0.0013426,              0.0013426,              0.0013426
                     86,                0.96755,                 1.4472,                 0.6697,                  1.087,                0.85597,                0.73171,                0.82989,                0.63453,                0.75751,                0.38125,                0.45954,                0.30152,                0.91799,                 1.2133,                0.59977,                 1.0509,              0.0013347,              0.0013347,              0.0013347
                     87,                 1.0855,                 1.5876,                 0.7199,                 1.1295,                0.86538,                0.73171,                0.83139,                0.63305,                0.76826,                0.41463,                0.46965,                0.28598,                0.92381,                 1.3188,                0.59244,                 1.0787,              0.0013268,              0.0013268,              0.0013268
                     88,                 1.0218,                 1.5203,                0.71666,                 1.0988,                0.86908,                0.73171,                0.82315,                0.62741,                0.88565,                0.37815,                0.45798,                0.33266,                0.95759,                 1.2529,                0.66627,                  1.104,              0.0013189,              0.0013189,              0.0013189
                     89,                0.97451,                 1.5027,                0.67929,                 1.0968,                 0.9912,                0.73171,                 0.8416,                0.60406,                0.89205,                0.34146,                0.43477,                0.27801,                0.98451,                 1.2565,                 0.6308,                 1.0871,               0.001311,               0.001311,               0.001311
                     90,                 1.0333,                   1.49,                 0.7054,                 1.0995,                      1,                 0.7281,                0.85501,                0.63819,                0.57259,                0.41463,                0.42891,                0.28812,                0.91561,                 1.2443,                0.65514,                 1.0637,               0.001303,               0.001303,               0.001303
                     91,                0.99343,                 1.5054,                0.71407,                  1.063,                0.84442,                 0.7561,                0.82136,                0.61188,                 0.8781,                0.35173,                0.43859,                0.31604,                0.92074,                 1.1777,                0.65275,                 1.0685,              0.0012951,              0.0012951,              0.0012951
                     92,                 1.0156,                 1.5098,                0.72902,                 1.1027,                0.93654,                0.72005,                0.84749,                0.64122,                 0.5325,                0.44463,                0.41024,                0.29534,                0.93336,                 1.2157,                0.58997,                 1.0692,              0.0012872,              0.0012872,              0.0012872
                     93,                0.96669,                 1.4235,                0.65962,                 1.0862,                0.86394,                 0.7561,                0.83533,                0.63147,                0.59503,                0.41463,                0.44095,                0.29294,                0.94492,                 1.2829,                 0.5893,                 1.0736,              0.0012793,              0.0012793,              0.0012793
                     94,                 1.0334,                 1.6576,                0.70619,                 1.1108,                0.90881,                0.72926,                0.83289,                0.63382,                0.78633,                0.36585,                0.42694,                0.29221,                  0.973,                  1.291,                0.61329,                  1.091,              0.0012714,              0.0012714,              0.0012714
                     95,                 1.0159,                 1.4733,                0.67075,                 1.0887,                0.90738,                0.71706,                0.83488,                0.64833,                0.59213,                0.42511,                0.41567,                0.30138,                0.92993,                 1.2464,                0.60086,                 1.0756,              0.0012634,              0.0012634,              0.0012634
                     96,                 1.1051,                 1.6181,                0.70609,                 1.1679,                0.96793,                0.70732,                0.83793,                0.63328,                0.56372,                0.36585,                0.33131,                0.21814,                0.92456,                 1.3763,                0.62607,                 1.0739,              0.0012555,              0.0012555,              0.0012555
                     97,                0.94881,                 1.5178,                0.63866,                 1.0578,                0.89914,                0.70732,                0.83124,                0.65268,                0.60673,                0.39024,                0.40757,                0.26883,                0.87363,                 1.2175,                0.58106,                 1.0425,              0.0012476,              0.0012476,              0.0012476
                     98,                0.97478,                 1.5624,                0.68109,                 1.0951,                0.85986,                0.74842,                0.82639,                0.64843,                0.52535,                0.45903,                0.43687,                0.27703,                0.88915,                 1.2002,                0.57968,                 1.0654,              0.0012397,              0.0012397,              0.0012397
                     99,                 1.0673,                 1.6392,                0.71206,                 1.1352,                0.85086,                 0.7561,                0.82247,                0.61773,                0.51592,                0.46341,                0.43203,                0.30825,                0.92338,                 1.1438,                0.57042,                 1.0646,              0.0012318,              0.0012318,              0.0012318
                    100,                 0.9782,                 1.4226,                0.66446,                 1.0833,                 0.9093,                0.73364,                0.84599,                0.64302,                0.54652,                0.43902,                0.42999,                0.28285,                0.92706,                 1.2011,                0.58535,                 1.0785,              0.0012238,              0.0012238,              0.0012238
                    101,                 1.0387,                  1.621,                0.69539,                 1.1287,                0.89275,                 0.7561,                0.84841,                0.64469,                0.54604,                0.46341,                0.40121,                0.27486,                0.91557,                 1.2743,                0.55492,                 1.0675,              0.0012159,              0.0012159,              0.0012159
                    102,                0.98116,                 1.3862,                0.65787,                 1.0658,                0.93608,                0.68293,                0.85754,                0.65578,                0.61922,                0.41463,                 0.4301,                 0.2976,                0.90894,                 1.2364,                0.55799,                  1.063,               0.001208,               0.001208,               0.001208
                    103,                0.95891,                 1.4284,                0.64406,                 1.0918,                0.88802,                0.77382,                0.85191,                0.65646,                0.66367,                0.43332,                0.46686,                0.29649,                0.85739,                 1.2787,                0.56772,                 1.0275,              0.0012001,              0.0012001,              0.0012001
